WORD         TOTFREQ    XFREQ    NSENT    NWORD
time          376870   372624    32087   742825
state         236330   223900    33146   784304
school        235633   216795    32965   765641
game          230872   219755    36875   813982
film          227150   216368    33840   811416
part          225162   219484    33348   788274
well          203678   200408    35466   787913
war           201680   196246    36442   790967
air           160827   146789    34213   775707
back          152370   148084    37039   816250
day           150096   143448    35448   796383
water         143446   135589    34726   760722
line          142829   127452    35118   793131
new_york      141360   132808    35053   802653
life          135019   131183    35550   785770
march         133156   130039    33962   791069
band          132500   118673    35143   814807
park          129853   118759    36325   795803
club          120010   104516    34551   802818
king          112283   104086    38185   812458
london        105144   102196    35528   811379
play          105052    99395    36222   824507
force         104567    98651    32080   711595
church        104253    85225    36896   791598
field         102758    94764    31496   740257
center        101262    92200    32392   759904
death          98677    94532    37848   801906
point          97110    90287    33073   742644
head           93487    87086    35317   794657
track          84088    75399    33643   812381
match          83941    76940    36594   826498
light          82627    77077    32613   736864
england        80170    77635    34894   802930
round          79985    67727    36140   792678
rock           79975    71077    36143   818559
press          79707    75101    37480   773129
america        78623    75977    33155   777938
space          77944    72608    29764   704477
lead           76797    73438    35380   796201
court          73496    64391    32196   793727
night          72125    66824    35603   819305
fire           71809    65104    36239   799488
australia      70748    67512    35087   787974
green          67713    62053    35679   786199
star           67530    61236    34731   798962
india          66452    61433    35265   779625
canada         65071    61763    33808   779348
ground         64261    58454    35797   796794
model          63963    57591    32061   721824
car            63854    59126    35409   808261
board          63721    55890    34181   780587
police         63702    55892    35464   781379
europe         62715    61530    34162   787908
france         61305    59308    34246   786103
gold           60270    55875    35354   777665
china          58770    55025    33309   783650
bridge         57526    43534    35635   793976
square         57478    51172    33543   731922
engine         55790    49026    35196   790057
washington     55631    47704    35634   786460
change         54955    52099    33667   755024
germany        52970    51174    33656   777229
ship           52676    47329    38591   795716
sound          50257    45633    33078   769560
hand           50165    47467    37502   807584
bank           48449    38834    32939   775137
oil            48140    41331    35553   786699
stadium        47298    36331    35956   800304
queen          46819    40843    40276   809136
cross          46303    38548    35002   803626
ball           46294    40445    35952   818105
